"collection title","accession id","accession date"
"Century of Progress: The 1933-34 World's Fair. Digital Collection","x0r8d6xfx7t5z","2011-07-06T14:44:08"
"Century of Progress: The 1933-34 World's Fair. Digital Collection","b6mkwr2p6xc3s","2014-12-23T16:11:35.923272"
"Chandrasekhar, Subrahmanyan. Digital Collection","203tmn0jpr6hv","2012-11-06T10:15:04.547751"
"Chandrasekhar, Subrahmanyan. Digital Collection","dt5nsckbhsrm9","2015-09-28T15:54:18.146504"
"Chicago Committee of Fifteen. Digital Collection","1z8md9h689b1k","2012-01-10T09:00:56"
"Chicago Public Library. Robert S. Abbott-John H. Sengstacke Family Photograph Collection","acw962b2z0f","2010-10-08T14:40:54"
"Closeted/Out in the Quadrangles, Oral Histories. Collection","vh6fxjc04fsmn","2015-02-10T10:00:14.367178"
"Clowes, Daniel. Archive","j6rg7838b08hz","2015-02-12T09:07:24.474182"
"Clowes, Daniel. Archive","nk2nn0n1t044b","2015-08-24T16:48:17.868369"
"Crosby, Patrick F. Collection","chccn0rj0ntjq","2013-03-28T16:27:17.085267"
"Crosby, Patrick F. Collection","2w0b22bfsztg0","2013-04-01T16:33:15.029591"
"Crosby, Patrick F. Collection","px61jkvg87fth","2013-04-25T12:08:23.192972"
"Dam, Kenneth. Papers","ssj0sh3ksb30z","2013-08-12T16:42:44.504432"
"Danos, Michael. Papers","s6rxtptcw31tt","2015-02-09T09:07:28.254060"
"Darwin Centennial Celebration. Digital Collection","1wbvtndg9f12b","2012-11-05T17:11:53.397278"
"Darwin Centennial Celebration. Digital Collection","dvg92d5s6070z","2013-07-16T11:16:56.228556"
"Davis, Jefferson, Trial Papers. Digital Collection","ac06w962b36","2010-12-03T11:28:06"
"Divinity School. Records","5p1kc2vbn4kmj","2013-02-12T12:33:59.729684"
"Donnelley, R.R. Records","1cgccjssjwn3p","2015-02-11T14:57:07.269927"
"Duckworth, Sir John Thomas. Digital Collection","x4djcp9gvzn1p","2013-07-22T15:33:53.244062"
"Durrett, Reuben T., Collection on Kentucky and the Ohio River Valley. Digital Collection","pj5r854wcjd75","2013-10-02T16:42:29.041192"
"Eggan, Fred. Digital Collection","89fc07g0qv8kr","2012-01-25T13:00:42"
"Eggan, Fred. Digital Collection","8c4bzdg78q5zc","2012-09-12T11:40:45"
"Eggan, Fred. Digital Collection","ck1ds6fnkhjdb","2012-11-05T17:02:02.556727"
"Elliot, William I. Papers","c54cphh3jjhj9","2015-02-06T15:58:28.688795"
"Elshtain, Jean Bethke. Papers","jpp077wv0zcvq","2014-08-08T09:41:48.156990"
"Elshtain, Jean Bethke. Papers","bc4qcthgf5vf5","2014-12-17T16:04:39.941595"
